"Composant","Quantité","Prix (EUR)","Lien",""
"Capteur à Ultrasons (HC-SR04)","1","1.40","https://fr.aliexpress.com/item/1005006039388853.html",""
"Module photorésistance","1","0.94","https://fr.aliexpress.com/item/1005007038160433.html",""
"Microcontrôleur (ESP32)","1","4.39","https://fr.aliexpress.com/item/1005008889768599.html",""
"Relais","1","1.47","https://fr.aliexpress.com/item/1005007109343076.html",""
"Bouton poussoir","1 (20)","1.31","https://fr.aliexpress.com/item/4001278311660.html",""
"LED","2 (60)","2.89","https://fr.aliexpress.com/item/1005008554748230.html",""
"Interrupteur","1 (10)","1.69","https://fr.aliexpress.com/item/1005007498633815.html",""
"Phase et masse commune","2 (20)","1.89","https://fr.aliexpress.com/item/4000873858801.html",""
"Fils de branchements 10cm et 30cm","40","6 en tout","https://fr.aliexpress.com/item/1005002000655439.html",""
"Convertisseur 220v AC vers 5v DC","1","1.35","https://fr.aliexpress.com/item/1005001970797548.html",""
"Fils électrique 220v","1","3.59","https://fr.aliexpress.com/item/1005010779278423.html",""
"Connecteur Wago","3","1.73","https://fr.aliexpress.com/item/1005006963063019.html",""
"Vis (M4x30, Countersunk head)","2 (10)","3.09","https://fr.aliexpress.com/item/1005007129209802.html",""
"Écrou","2 (50)","2.44","https://fr.aliexpress.com/item/1005010329406193.html",""
"Résistances","2 (20)","0.99","https://fr.aliexpress.com/item/1005006424279944.html",""
"Total","","35","C'est seulement si vous achetez toutes les pièces, on peut faire de la récup sur certain composants",""
